id,domain,topic,subtopic,template
MATH.1.1,Foundations & Preliminaries,Mathematical Logic & Proof Techniques,Propositional Logic,definition
MATH.1.1,Foundations & Preliminaries,Mathematical Logic & Proof Techniques,Predicate Logic,definition
MATH.1.1,Foundations & Preliminaries,Mathematical Logic & Proof Techniques,Formal Systems and Axiomatic Methods,definition
MATH.1.2,Foundations & Preliminaries,Set Theory & Foundations,"Basic Set Operations (union, intersection, complement)",definition
MATH.1.2,Foundations & Preliminaries,Set Theory & Foundations,Venn Diagrams,definition
MATH.1.2,Foundations & Preliminaries,Set Theory & Foundations,"Functions, Relations, and Mappings",definition
MATH.1.2,Foundations & Preliminaries,Set Theory & Foundations,Cardinality and Infinite Sets,definition
MATH.1.2,Foundations & Preliminaries,Set Theory & Foundations,Zermelo–Fraenkel Axioms (with Choice),definition
MATH.1.3,Foundations & Preliminaries,Number Systems,Natural Numbers (ℕ),definition
MATH.1.3,Foundations & Preliminaries,Number Systems,Integers (ℤ),definition
MATH.1.3,Foundations & Preliminaries,Number Systems,Rational Numbers (ℚ),definition
MATH.1.3,Foundations & Preliminaries,Number Systems,Real Numbers (ℝ),definition
MATH.1.3,Foundations & Preliminaries,Number Systems,Complex Numbers (ℂ),definition
MATH.2.1,Arithmetic & Elementary Topics,Basic Arithmetic,"Addition, Subtraction, Multiplication, Division",definition
MATH.2.1,Arithmetic & Elementary Topics,Basic Arithmetic,"Properties of Operations (commutativity, associativity, distributivity)",definition
MATH.2.2,Arithmetic & Elementary Topics,"Fractions, Decimals & Percentages","Simplification, Conversion, and Comparison",definition
MATH.2.2,Arithmetic & Elementary Topics,"Fractions, Decimals & Percentages",Ratios and Proportions,definition
MATH.2.3,Arithmetic & Elementary Topics,Basic Numeracy Skills,Order of Operations,definition
MATH.2.3,Arithmetic & Elementary Topics,Basic Numeracy Skills,Estimation and Rounding,definition
MATH.3.1,Algebra,Elementary Algebra,"Variables, Expressions, and Equations",computation
MATH.3.1,Algebra,Elementary Algebra,Linear Equations and Inequalities,computation
MATH.3.1,Algebra,Elementary Algebra,"Factoring, Polynomials, and Quadratics",computation
MATH.3.1,Algebra,Elementary Algebra,Rational Expressions,computation
MATH.3.2,Algebra,Intermediate Algebra,Exponents and Logarithms,computation
MATH.3.2,Algebra,Intermediate Algebra,Functions and Graphs,computation
MATH.3.2,Algebra,Intermediate Algebra,Systems of Equations,computation
MATH.3.2,Algebra,Intermediate Algebra,"Sequences, Series, and Summations",computation
MATH.3.3,Algebra,Abstract (Advanced) Algebra,"Group Theory: Groups, Subgroups, Homomorphisms, Cosets, Lagrange’s Theorem",computation
MATH.3.3,Algebra,Abstract (Advanced) Algebra,"Ring Theory: Rings, Ideals, Ring Homomorphisms",computation
MATH.3.3,Algebra,Abstract (Advanced) Algebra,"Field Theory: Fields, Extensions, Galois Theory",computation
MATH.3.3,Algebra,Abstract (Advanced) Algebra,Modules and Vector Spaces,computation
MATH.4.1,Geometry & Trigonometry,Geometry,"Euclidean Geometry: Points, Lines, Angles, Triangles, Polygons, Circles",computation
MATH.4.1,Geometry & Trigonometry,Geometry,"Analytic Geometry: Coordinate Systems, Conic Sections, Equations of Geometric Figures",computation
MATH.4.1,Geometry & Trigonometry,Geometry,Non-Euclidean Geometry: Hyperbolic and Elliptic Geometries,computation
MATH.4.1,Geometry & Trigonometry,Geometry,"Differential Geometry: Curves, Surfaces, and Manifolds",computation
MATH.4.2,Geometry & Trigonometry,Trigonometry,"Trigonometric Functions (sine, cosine, tangent, etc.)",computation
MATH.4.2,Geometry & Trigonometry,Trigonometry,Trigonometric Identities and Equations,computation
MATH.4.2,Geometry & Trigonometry,Trigonometry,Inverse Trigonometric Functions,computation
MATH.4.2,Geometry & Trigonometry,Trigonometry,Applications to Periodic Phenomena and Waveforms,computation
MATH.5.1,Calculus & Analysis,Differential Calculus,Concept of Limits and Continuity,computation
MATH.5.1,Calculus & Analysis,Differential Calculus,Derivatives and Differentiation Rules,computation
MATH.5.1,Calculus & Analysis,Differential Calculus,"Applications of Derivatives (tangent lines, optimization, motion)",computation
MATH.5.2,Calculus & Analysis,Integral Calculus,Antiderivatives and Indefinite Integrals,computation
MATH.5.2,Calculus & Analysis,Integral Calculus,Definite Integrals and the Fundamental Theorem of Calculus,computation
MATH.5.2,Calculus & Analysis,Integral Calculus,Techniques of Integration,computation
MATH.5.2,Calculus & Analysis,Integral Calculus,"Applications (area, volume, accumulation functions)",computation
MATH.5.3,Calculus & Analysis,Multivariable Calculus,Partial Derivatives and Multiple Integrals,computation
MATH.5.3,Calculus & Analysis,Multivariable Calculus,"Gradient, Divergence, and Curl",computation
MATH.5.3,Calculus & Analysis,Multivariable Calculus,Vector Calculus and Line/Surface Integrals,computation
MATH.5.4,Calculus & Analysis,Real Analysis,"Sequences and Series, Convergence Tests",computation
MATH.5.4,Calculus & Analysis,Real Analysis,Properties of Real Numbers,computation
MATH.5.4,Calculus & Analysis,Real Analysis,Metric Spaces and Normed Spaces,computation
MATH.5.4,Calculus & Analysis,Real Analysis,Uniform Convergence and Continuity in Depth,computation
MATH.5.5,Calculus & Analysis,Complex Analysis,Complex Functions and Analyticity,computation
MATH.5.5,Calculus & Analysis,Complex Analysis,Cauchy-Riemann Equations,computation
MATH.5.5,Calculus & Analysis,Complex Analysis,Contour Integration and Residue Theorem,computation
MATH.5.5,Calculus & Analysis,Complex Analysis,Conformal Mappings,computation
MATH.5.6,Calculus & Analysis,Functional Analysis (Advanced),Infinite-Dimensional Vector Spaces,computation
MATH.5.6,Calculus & Analysis,Functional Analysis (Advanced),Banach and Hilbert Spaces,computation
MATH.5.6,Calculus & Analysis,Functional Analysis (Advanced),Operators and Spectral Theory,computation
MATH.6.1,Linear Algebra,Vector Spaces & Subspaces,Definitions and Examples,computation
MATH.6.1,Linear Algebra,Vector Spaces & Subspaces,Basis and Dimension,computation
MATH.6.2,Linear Algebra,Matrices and Determinants,"Matrix Operations, Inverses",computation
MATH.6.2,Linear Algebra,Matrices and Determinants,Determinants and Their Properties,computation
MATH.6.3,Linear Algebra,Linear Transformations,Kernel and Image,computation
MATH.6.3,Linear Algebra,Linear Transformations,Change of Basis and Similarity,computation
MATH.6.4,Linear Algebra,Eigenvalues and Eigenvectors,Characteristic Equation,computation
MATH.6.4,Linear Algebra,Eigenvalues and Eigenvectors,Diagonalization,computation
MATH.6.4,Linear Algebra,Eigenvalues and Eigenvectors,Jordan Canonical Form,computation
MATH.7.1,Differential Equations,Ordinary Differential Equations (ODEs),"First-Order ODEs and Techniques (separable, linear)",computation
MATH.7.1,Differential Equations,Ordinary Differential Equations (ODEs),Higher-Order ODEs,computation
MATH.7.1,Differential Equations,Ordinary Differential Equations (ODEs),Systems of ODEs and Stability Analysis,computation
MATH.7.2,Differential Equations,Partial Differential Equations (PDEs),"Classification (elliptic, parabolic, hyperbolic)",computation
MATH.7.2,Differential Equations,Partial Differential Equations (PDEs),"Separation of Variables, Fourier Series Methods",computation
MATH.7.2,Differential Equations,Partial Differential Equations (PDEs),Numerical Methods and Applications,computation
MATH.8.1,Topology,Point-Set Topology,"Open and Closed Sets, Continuity",abstract
MATH.8.1,Topology,Point-Set Topology,"Compactness, Connectedness, and Convergence",abstract
MATH.8.1,Topology,Point-Set Topology,Topological Spaces and Bases,abstract
MATH.8.2,Topology,Algebraic Topology,Homotopy and Fundamental Groups,abstract
MATH.8.2,Topology,Algebraic Topology,Homology and Cohomology,abstract
MATH.8.2,Topology,Algebraic Topology,Applications to Manifolds,abstract
MATH.9.1,"Probability, Statistics & Combinatorics",Probability Theory,"Basic Concepts: Sample Space, Events, Probability Measures",computation
MATH.9.1,"Probability, Statistics & Combinatorics",Probability Theory,Discrete and Continuous Random Variables,computation
MATH.9.1,"Probability, Statistics & Combinatorics",Probability Theory,"Expected Value, Variance, and Higher Moments",computation
MATH.9.2,"Probability, Statistics & Combinatorics",Statistics,Descriptive Statistics,computation
MATH.9.2,"Probability, Statistics & Combinatorics",Statistics,"Inferential Statistics: Hypothesis Testing, Confidence Intervals",computation
MATH.9.2,"Probability, Statistics & Combinatorics",Statistics,Regression Analysis and Data Modeling,computation
MATH.9.3,"Probability, Statistics & Combinatorics",Combinatorics,"Counting Principles, Permutations, and Combinations",computation
MATH.9.3,"Probability, Statistics & Combinatorics",Combinatorics,Graph Theory and Network Analysis,computation
MATH.9.3,"Probability, Statistics & Combinatorics",Combinatorics,Generating Functions and Recurrence Relations,computation
MATH.10.1,Number Theory,Elementary Number Theory,"Divisibility, Prime Numbers, and the Euclidean Algorithm",computation
MATH.10.1,Number Theory,Elementary Number Theory,Modular Arithmetic and Congruences,computation
MATH.10.1,Number Theory,Elementary Number Theory,Diophantine Equations,computation
MATH.10.2,Number Theory,Advanced Number Theory,"Analytic Number Theory: Distribution of Primes, Riemann Zeta Function",computation
MATH.10.2,Number Theory,Advanced Number Theory,"Algebraic Number Theory: Number Fields, Ideals, and Class Numbers",computation
MATH.11.1,Mathematical Logic & Foundations (Advanced),Advanced Set Theory,"Ordinals, Cardinals, and the Continuum Hypothesis",abstract
MATH.11.1,Mathematical Logic & Foundations (Advanced),Advanced Set Theory,Forcing and Independence Results,abstract
MATH.11.2,Mathematical Logic & Foundations (Advanced),Computability & Recursion Theory,Turing Machines and Decidability,abstract
MATH.11.2,Mathematical Logic & Foundations (Advanced),Computability & Recursion Theory,Recursive Functions and Complexity Theory,abstract
MATH.11.3,Mathematical Logic & Foundations (Advanced),Category Theory,"Categories, Functors, and Natural Transformations",abstract
MATH.11.3,Mathematical Logic & Foundations (Advanced),Category Theory,Universal Properties and Limits,abstract
MATH.12.1,Optimization & Operations Research,Optimization Theory,Linear Programming and the Simplex Method,computation
MATH.12.1,Optimization & Operations Research,Optimization Theory,Nonlinear and Convex Optimization,computation
MATH.12.1,Optimization & Operations Research,Optimization Theory,Duality Theory and Sensitivity Analysis,computation
MATH.12.2,Optimization & Operations Research,Operations Research,Network Flows and Transportation Problems,computation
MATH.12.2,Optimization & Operations Research,Operations Research,Game Theory and Decision Analysis,computation
MATH.12.2,Optimization & Operations Research,Operations Research,Heuristics and Metaheuristics,computation
MATH.13.1,Advanced and Interdisciplinary Topics,Dynamical Systems and Chaos,"Stability, Bifurcation, and Strange Attractors",abstract
MATH.13.1,Advanced and Interdisciplinary Topics,Dynamical Systems and Chaos,"Applications in Physics, Biology, and Economics",abstract
MATH.13.2,Advanced and Interdisciplinary Topics,Fourier and Harmonic Analysis,"Fourier Series, Fourier Transform",abstract
MATH.13.2,Advanced and Interdisciplinary Topics,Fourier and Harmonic Analysis,Wavelets and Signal Processing,abstract
MATH.13.3,Advanced and Interdisciplinary Topics,Information Theory,"Entropy, Mutual Information",abstract
MATH.13.3,Advanced and Interdisciplinary Topics,Information Theory,Data Compression and Coding Theory,abstract
MATH.13.4,Advanced and Interdisciplinary Topics,Mathematical Modeling,Formulation and Analysis of Mathematical Models,abstract
MATH.13.4,Advanced and Interdisciplinary Topics,Mathematical Modeling,Simulation Techniques,abstract
PHYS.1.1,"Physics: Foundations, Units, and Mathematical Tools",Fundamental Concepts and Philosophy of Physics,"What is Physics? (definition, scope, and the scientific method)",definition
PHYS.1.1,"Physics: Foundations, Units, and Mathematical Tools",Fundamental Concepts and Philosophy of Physics,Historical overview: from classical mechanics to modern theories,definition
PHYS.1.1,"Physics: Foundations, Units, and Mathematical Tools",Fundamental Concepts and Philosophy of Physics,The role of models and approximation in describing nature,definition
PHYS.1.2,"Physics: Foundations, Units, and Mathematical Tools","Units, Measurement, and Dimensional Analysis","SI units, conversion factors, and standard measurements",definition
PHYS.1.2,"Physics: Foundations, Units, and Mathematical Tools","Units, Measurement, and Dimensional Analysis","Accuracy, precision, and error analysis",definition
PHYS.1.2,"Physics: Foundations, Units, and Mathematical Tools","Units, Measurement, and Dimensional Analysis",Dimensional analysis and scaling laws,definition
PHYS.1.3,"Physics: Foundations, Units, and Mathematical Tools",Mathematical Tools for Physics,"Vectors, scalars, and coordinate systems (Cartesian, polar, spherical, cylindrical)",definition
PHYS.1.3,"Physics: Foundations, Units, and Mathematical Tools",Mathematical Tools for Physics,"Basic calculus (differentiation, integration) and its applications",definition
PHYS.1.3,"Physics: Foundations, Units, and Mathematical Tools",Mathematical Tools for Physics,Differential equations and linear algebra essentials,definition
PHYS.1.3,"Physics: Foundations, Units, and Mathematical Tools",Mathematical Tools for Physics,"Tensor analysis (index notation, covariant derivatives)",definition
PHYS.2.1,Physics: Classical Mechanics,Kinematics,"Motion in one, two, and three dimensions",definition
PHYS.2.1,Physics: Classical Mechanics,Kinematics,"Concepts of displacement, velocity, and acceleration",definition
PHYS.2.1,Physics: Classical Mechanics,Kinematics,Equations of motion for constant acceleration,definition
PHYS.2.2,Physics: Classical Mechanics,Newtonian Mechanics,Newton’s Laws of Motion,definition
PHYS.2.2,Physics: Classical Mechanics,Newtonian Mechanics,"Forces: friction, tension, normal force, and drag",definition
PHYS.2.2,Physics: Classical Mechanics,Newtonian Mechanics,Dynamics of motion under various force laws,definition
PHYS.2.3,Physics: Classical Mechanics,"Work, Energy, and Power",Work-energy theorem,definition
PHYS.2.3,Physics: Classical Mechanics,"Work, Energy, and Power",Kinetic and potential energy; conservation of energy,definition
PHYS.2.3,Physics: Classical Mechanics,"Work, Energy, and Power","Power, efficiency, and applications to real systems",definition
PHYS.2.4,Physics: Classical Mechanics,Momentum and Collisions,"Linear momentum, impulse, and conservation of momentum",definition
PHYS.2.4,Physics: Classical Mechanics,Momentum and Collisions,Analysis of elastic and inelastic collisions,definition
PHYS.2.4,Physics: Classical Mechanics,Momentum and Collisions,Center-of-mass motion,definition
PHYS.2.5,Physics: Classical Mechanics,Rotational Dynamics,"Angular displacement, velocity, and acceleration",definition
PHYS.2.5,Physics: Classical Mechanics,Rotational Dynamics,"Torque, moment of inertia, and rotational kinetic energy",definition
PHYS.2.5,Physics: Classical Mechanics,Rotational Dynamics,Rolling motion and gyroscopic effects,definition
PHYS.2.6,Physics: Classical Mechanics,Gravitation,Newton’s Law of Universal Gravitation,definition
PHYS.2.6,Physics: Classical Mechanics,Gravitation,Gravitational potential and energy,definition
PHYS.2.6,Physics: Classical Mechanics,Gravitation,Orbital dynamics and Kepler’s Laws,definition
PHYS.2.7,Physics: Classical Mechanics,Oscillations & Waves,Simple harmonic motion,definition
PHYS.2.7,Physics: Classical Mechanics,Oscillations & Waves,Damped and driven oscillators,definition
PHYS.2.7,Physics: Classical Mechanics,Oscillations & Waves,Wave equation & superposition,definition
PHYS.2.8,Physics: Classical Mechanics,Fluid Mechanics,Pressure and buoyancy,definition
PHYS.2.8,Physics: Classical Mechanics,Fluid Mechanics,Bernoulli’s principle & continuity,definition
PHYS.2.8,Physics: Classical Mechanics,Fluid Mechanics,Navier–Stokes basics,definition
PHYS.3.1,Physics: Electromagnetism,Electrostatics,"Coulomb's law, electric fields, and electric potential",definition
PHYS.3.1,Physics: Electromagnetism,Electrostatics,Gauss's law and flux,definition
PHYS.3.1,Physics: Electromagnetism,Electrostatics,Electric forces in matter (dielectrics and polarization),definition
PHYS.3.2,Physics: Electromagnetism,Magnetostatics,"Magnetic fields generated by currents (Biot–Savart law, Ampère's law)",definition
PHYS.3.2,Physics: Electromagnetism,Magnetostatics,Magnetic flux and field lines,definition
PHYS.3.2,Physics: Electromagnetism,Magnetostatics,Magnetic materials and magnetization,definition
PHYS.3.3,Physics: Electromagnetism,Electrodynamics,Faraday’s Law of electromagnetic induction,definition
PHYS.3.3,Physics: Electromagnetism,Electrodynamics,Maxwell’s Equations and their physical significance,definition
PHYS.3.3,Physics: Electromagnetism,Electrodynamics,Electromagnetic waves and light,definition
PHYS.3.4,Physics: Electromagnetism,Circuit Theory and Electrical Applications,"Ohm’s Law, resistance, capacitance, and inductance",definition
PHYS.3.4,Physics: Electromagnetism,Circuit Theory and Electrical Applications,Analysis of DC and AC circuits,definition
PHYS.3.4,Physics: Electromagnetism,Circuit Theory and Electrical Applications,"Kirchhoff’s rules, transient phenomena, and RLC circuits",definition
PHYS.3.5,Physics: Electromagnetism,Optics,"Geometric optics (mirrors, lenses, Snell’s law)",definition
PHYS.3.5,Physics: Electromagnetism,Optics,"Physical/wave optics (diffraction, interference)",definition
PHYS.4.1,Physics: Thermodynamics & Statistical Mechanics,Laws of Thermodynamics,"Zeroth, First, Second, and Third Laws",definition
PHYS.4.1,Physics: Thermodynamics & Statistical Mechanics,Laws of Thermodynamics,"Definitions of temperature, heat, work, and internal energy",definition
PHYS.4.1,Physics: Thermodynamics & Statistical Mechanics,Laws of Thermodynamics,Concepts of thermal equilibrium,definition
PHYS.4.2,Physics: Thermodynamics & Statistical Mechanics,Thermodynamic Processes and Cycles,"Isobaric, isochoric, isothermal, and adiabatic processes",definition
PHYS.4.2,Physics: Thermodynamics & Statistical Mechanics,Thermodynamic Processes and Cycles,"Heat engines, refrigerators, and efficiency limits",definition
PHYS.4.2,Physics: Thermodynamics & Statistical Mechanics,Thermodynamic Processes and Cycles,"Thermodynamic potentials (enthalpy, Helmholtz & Gibbs free energies, Maxwell relations)",definition
PHYS.4.3,Physics: Thermodynamics & Statistical Mechanics,Statistical Mechanics and Kinetic Theory,"Microstates, macrostates, and the Boltzmann distribution",definition
PHYS.4.3,Physics: Thermodynamics & Statistical Mechanics,Statistical Mechanics and Kinetic Theory,Partition functions and free energy,definition
PHYS.4.3,Physics: Thermodynamics & Statistical Mechanics,Statistical Mechanics and Kinetic Theory,Kinetic theory of gases and molecular motion,definition
PHYS.5.1,Physics: Quantum Mechanics,Foundations and Early Quantum Theory,"Blackbody radiation, the photoelectric effect, and atomic spectra",definition
